Price,Open,High,Low,Vol.,Change %
4213.28,4206.55,4253.97,4090.33,927.35M,0
4142.14,4221.52,4252.7,4078.85,1.00B,-0.02
4278.14,4164.43,4292.88,4117.15,701.53M,0.03
4148.43,4271.1,4282.48,4103.72,1.11B,-0.03
4228.68,4162.19,4271.28,4094.73,957.83M,0.02
4384.03,4209.81,4384.03,4206.76,816.58M,0.04
4443.05,4379.31,4444.62,4370.63,589.13M,0.01
4440.67,4441.26,4464.31,4428.82,737.35M,0
4399.23,4452.8,4483.97,4389.82,752.48M,-0.01
4314.90,4406.87,4424.22,4289.3,794.80M,-0.02
4458.54,4338.29,4478.69,4327.27,1.08B,0.03
4332.86,4454.15,4467.79,4280.95,879.14M,-0.03
4316.01,4359.78,4384.18,4284.06,685.30M,0
4422.02,4286.16,4422.63,4283.91,743.04M,0.02
4351.80,4428.13,4448.2,4333.1,781.50M,-0.02
4536.78,4373.65,4543.64,4373.09,834.58M,0.04
4479.06,4548.51,4562.33,4395.1,917.06M,-0.01
4458.65,4491.19,4510.47,4349.93,827.69M,0
4494.29,4457.62,4509.13,4380.52,757.82M,0.01
4527.16,4487.14,4542.46,4483.76,720.45M,0.01
4508.25,4516.63,4551.52,4456.76,690.63M,0
4477.19,4530.03,4539.35,4452.32,721.71M,-0.01
4453.79,4476.69,4511.32,4392.45,704.72M,-0.01
4513.42,4416.14,4540.69,4396.13,910.35M,0.01
4484.28,4541.85,4561.64,4469.23,842.84M,-0.01
4433.39,4433.11,4460.08,4377.23,639.80M,-0.01
4420.15,4394.44,4444.41,4344.15,809.67M,0
4661.60,4457.76,4661.6,4456.54,812.86M,0.05
4557.38,4670.23,4694.13,4552.4,849.54M,-0.02
4588.91,4530.36,4616.48,4506.19,879.95M,0.01
4520.08,4595.26,4634.7,4485.5,862.78M,-0.02
4530.74,4558.68,4583.63,4436.54,801.91M,0
4197.27,4516.88,4568.59,4197.27,958.85M,-0.07
4329.12,3847.12,4340.7,3787.23,1.59B,0.03
4184.72,4299.88,4324.73,4121.83,1.00B,-0.03
4323.23,4267.4,4352.96,4242.47,722.15M,0.03
4323.86,4334.86,4450.66,4293.77,1.20B,0
4224.74,4343.77,4372.42,4198.11,847.00M,-0.02
4267.45,4206.68,4267.45,4053.11,1.09B,0.01
4370.01,4296.54,4378.26,4273.7,911.45M,0.02
4438.62,4378.64,4438.75,4328.96,795.76M,0.02
4624.09,4428.06,4645.97,4409.9,930.27M,0.04
4648.83,4621.14,4681.23,4606.66,853.33M,0.01
4707.23,4658.79,4737.11,4652.45,802.98M,0.01
4502.14,4687.35,4694.27,4499.15,779.82M,-0.04
4686.36,4494.56,4691.59,4486.09,824.34M,0.04
4680.47,4689.98,4706.62,4621.63,449.96M,0
4716.12,4692.57,4739.75,4579.91,953.09M,0.01
4537.56,4718.55,4720.82,4534.05,829.13M,-0.04
4514.82,4535.56,4681.13,4478.25,1.21B,-0.01
4622.77,4547.92,4635.59,4519.82,451.64M,0.02
4593.27,4610.41,4702.74,4580.13,393.04M,-0.01
4270.78,4485.06,4522.12,4264.81,1.03B,-0.07
4141.08,4300.97,4359.5,4085.79,1.17B,-0.03
4259.77,4199.56,4260.55,3992.91,937.57M,0.03
4279.17,4245.47,4279.17,4111.93,1.16B,0
4024.47,4254.41,4301.63,4008.45,1.16B,-0.06
4019.19,3947.99,4045.48,3888.78,1.19B,0
4164.09,4077.33,4212.58,4049.88,833.29M,0.04
4235.62,4203.6,4275.82,4088.12,769.00M,0.02
4329.00,4228.57,4356.34,4200.15,883.79M,0.02
4361.83,4303.81,4361.83,4232.08,803.48M,0.01
4410.83,4347.94,4420.88,4339.86,1.01B,0.01
4405.53,4403.09,4450.76,4374.71,552.73M,0
4532.08,4415.04,4534.32,4384.27,705.34M,0.03
4474.93,4526.39,4544.59,4459.56,720.30M,-0.01
4543.16,4496.26,4569.73,4435.05,757.13M,0.02
4474.19,4535.21,4574.38,4440.14,816.48M,-0.02
4341.30,4459.67,4490.06,4307.1,951.45M,-0.03
4330.17,4350.83,4386.98,4282,792.25M,0
4326.53,4331.66,4407.93,4312.88,739.11M,0
4362.90,4335.33,4395.7,4284.36,826.56M,0.01
4512.54,4364.73,4512.54,4353.36,708.75M,0.03
4509.79,4513.85,4531.35,4480.8,724.01M,0
4461.05,4517.88,4536.55,4447.33,659.05M,-0.01
4374.38,4436.11,4461.27,4362.16,944.76M,-0.02
4285.70,4424.11,4467.48,4274.54,977.17M,-0.02
4437.44,4247.71,4453.86,4179.73,959.17M,0.04
4528.36,4414.35,4529.72,4375.72,590.78M,0.02
4589.83,4544.33,4607.18,4544.33,740.72M,0.01
4666.07,4595.06,4670.54,4591.83,713.38M,0.02
4730.23,4662.9,4743.26,4648.92,850.86M,0.01
4791.21,4734.44,4799.86,4689.55,732.06M,0.01
4807.08,4791.1,4813.36,4770.22,594.33M,0
4806.14,4814.77,4837.67,4772.43,624.66M,0
4783.69,4797.95,4836.45,4758.1,605.30M,0
4798.74,4787.93,4816.7,4750.24,615.24M,0
4681.53,4806.66,4839.59,4681.53,660.28M,-0.02
4818.05,4656.59,4826.02,4656.51,1.07B,0.03
4858.91,4833.84,4895.5,4787.44,697.91M,0.01
4875.70,4830.17,4889.23,4811.28,751.68M,0
4864.52,4864.63,4891.5,4840.93,651.65M,0
4808.48,4887.73,4904.72,4760.07,696.77M,-0.01
4851.86,4808.47,4860.68,4790.45,723.72M,0.01
4805.59,4884.16,4911.76,4794.07,756.08M,-0.01
4660.46,4821.31,4823.91,4647.59,827.09M,-0.03
4751.95,4737.98,4855.79,4685.74,1.03B,0.02
4808.04,4752.61,4840.81,4677.41,869.63M,0.01
4870.02,4822.03,4884.63,4819.57,505.26M,0.01
4739.37,4861.73,4896.57,4721.41,874.98M,-0.03
4895.90,4762.34,4897.24,4743.53,774.22M,0.03
4914.86,4878.04,4960.48,4854.27,1.01B,0
4940.02,4919.16,4963,4911.75,563.48M,0.01
4863.62,4948.92,4992.08,4853.93,425.54M,-0.02
5007.08,4900.85,5020.7,4884.52,565.44M,0.03
5059.51,5013.82,5066.95,4995.07,654.51M,0.01
5063.20,5043.07,5085.34,5029.61,593.56M,0
5168.06,5055.97,5172.43,5035.49,816.39M,0.02
5161.60,5146.41,5165.47,5086.33,778.88M,0
5226.69,5154.18,5234.27,5148.06,740.93M,0.01
5324.72,5242.49,5324.72,5238.69,766.27M,0.02
5343.31,5334.57,5358.53,5304.01,583.00M,0
5373.48,5330.56,5398.43,5316.7,742.48M,0.01
5385.90,5352.61,5394.66,5336.08,700.31M,0
5408.76,5387.73,5426.84,5360.7,924.54M,0
5363.99,5406.02,5439.58,5327.25,734.45M,-0.01
5436.23,5320.96,5451.5,5316.02,647.88M,0.01
5418.37,5440.2,5479.86,5400.08,686.33M,0
5353.59,5423.57,5442.71,5353.59,519.87M,-0.01
5442.05,5369.21,5455.88,5367.59,669.28M,0.02
5583.53,5503.27,5600,5494.46,816.97M,0.03
5646.09,5602.44,5646.09,5600.31,746.58M,0.01
5686.81,5649.18,5691.21,5637.4,753.09M,0.01
5651.56,5687.97,5724.71,5568.47,893.31M,-0.01
5788.36,5662.95,5793.13,5661.59,682.12M,0.02
5881.46,5785.38,5881.46,5762.56,666.56M,0.02
5741.94,5881.22,5897.69,5657.76,857.17M,-0.02
5681.48,5677.16,5774.19,5633.34,1.39B,-0.01
5803.10,5729.54,5810.31,5724.49,875.72M,0.02
5646.92,5832.31,5845.15,5599.44,837.76M,-0.03
5656.47,5680.36,5684.98,5579.64,560.13M,0
5838.08,5662.71,5844.8,5650.26,677.38M,0.03
5921.52,5845.82,5932.61,5818.2,702.02M,0.01
5908.92,5920.93,5995.77,5847.05,835.45M,0
5899.90,5928.69,5936.15,5859.62,802.43M,0
5831.53,5909.45,5972.93,5783.36,737.72M,-0.01
5790.91,5878.64,5944.98,5770.14,742.09M,-0.01
5822.53,5791.04,5879,5750.5,632.69M,0.01
5987.90,5839.27,6009.61,5785.22,654.81M,0.03
5913.37,5966.64,5980.91,5890.25,572.37M,-0.01
5988.00,5962.35,6009.44,5957.85,967.25M,0.01
5932.32,5997.51,6012.95,5911.48,695.50M,-0.01
5979.30,5904.06,5980.22,5839.89,762.42M,0.01
6064.57,5988.96,6064.67,5955.83,634.98M,0.01
6092.45,6071.96,6100.06,6036.72,679.04M,0
6108.82,6108.66,6129.49,6051.47,688.65M,0
6213.47,6122.24,6223.52,6011.24,854.61M,0.02
6295.58,6209.8,6297.62,6194.58,896.41M,0.01
6309.07,6292.15,6346.98,6248.29,777.11M,0
6314.51,6286.01,6352.47,6227.99,753.95M,0
6409.29,6319.57,6410.77,6301.88,463.93M,0.02
6337.87,6409.52,6426.04,6244.84,988.00M,-0.01
6344.57,6380.68,6380.77,6234.22,883.34M,0
6466.32,6351.24,6470.92,6347.91,1.07B,0.02
6465.17,6504.89,6522.7,6447.93,753.13M,0
6396.42,6427.32,6452.07,6396.42,393.41M,-0.01
6653.29,6431.59,6654.98,6417.75,626.35M,0.04
6758.54,6651.68,6763.98,6619.35,747.63M,0.02
6834.33,6807.85,6843.24,6719.11,720.37M,0.01
7022.97,6829.55,7022.97,6822.85,872.75M,0.03
6760.29,7000.68,7020.64,6756.54,1.02B,-0.04
6412.68,6687.47,6807.96,6164.43,1.44B,-0.05
6770.66,6477.04,6840.6,6424.3,957.04M,0.06
6896.60,6742.15,6897.53,6740.48,637.97M,0.02
6811.04,6933.82,7003.14,6645.03,983.64M,-0.01
7101.18,6777.63,7101.31,6753.83,857.63M,0.04
7019.95,7122.47,7186.09,7010.01,1.08B,-0.01
6508.09,6945.97,6949.02,6507.84,1.02B,-0.07
6581.13,6644.4,6793.5,6410.04,958.13M,0.01
6433.21,6528.23,6632.21,6322.6,1.02B,-0.02
6628.34,6488.48,6703.31,6466.04,787.73M,0.03
6667.75,6675.92,6856.96,6633.08,786.09M,0.01
6656.35,6699.16,6750.78,6426.57,911.79M,0
6769.12,6669.44,6783.36,6539.86,896.49M,0.02
6952.56,6803.45,6969.3,6770.3,806.38M,0.03
6866.25,6977.35,7008.26,6852.73,771.53M,-0.01
6960.92,6920.32,6982.52,6846.94,707.00M,0.01
7083.93,6928.49,7084.84,6887.12,750.92M,0.02
7152.62,7099.5,7212.45,7099.09,776.25M,0.01
7255.76,7149.65,7291.31,7146.09,1.08B,0.01
7197.51,7201.18,7309.99,7138.02,969.20M,-0.01
7040.80,7131.05,7144.28,6950.23,944.23M,-0.02
7207.33,6979.54,7217,6969.16,555.00M,0.02
7375.82,7251.18,7387.74,7220.23,720.23M,0.02
7350.23,7381.03,7418.43,7288.3,764.47M,0
7296.78,7335.42,7511.39,7255.32,868.30M,-0.01
7395.49,7292.72,7395.49,7158.78,860.86M,0.01
7408.30,7390.81,7498.37,7381.58,687.13M,0
7377.54,7420.18,7468.82,7308.52,799.51M,0
7485.40,7393.57,7489.54,7343.47,656.32M,0.01
7654.55,7527.37,7691.1,7512.02,696.78M,0.02
7430.26,7629.34,7643.45,7400.99,723.80M,-0.03
7545.50,7466.76,7581.3,7401.72,790.90M,0.02
7531.07,7522.59,7603.86,7427.79,1.14B,0
7627.65,7477.45,7657.8,7447.23,828.76M,0.01
7399.01,7673,7700.56,7327.44,822.64M,-0.03
7157.21,7356.54,7430.36,6892.89,1.15B,-0.03
7107.23,7129.31,7311.85,7047.47,918.90M,-0.01
6852.40,7146.03,7193.72,6743.77,1.19B,-0.04
6965.29,6954.69,7085.27,6574.74,1.27B,0.02
7039.15,6946.15,7205.96,6859.8,913.42M,0.01
6867.02,6990.37,6998.8,6702.42,1.10B,-0.02
6527.35,6832.25,6841.44,6442.36,790.56M,-0.05
6949.01,6616.79,6951.13,6590.89,1.08B,0.06
6613.27,7106.84,7106.99,6594.54,974.15M,-0.05
6594.96,6603.36,6867.66,6534.33,948.45M,0
6046.56,6570.99,6621.63,6013.98,1.70B,-0.08
6285.27,5994.08,6388.36,5895.12,878.68M,0.04
6422.67,6354.85,6445.19,6139.4,954.58M,0.02
